Date,Total_Sales_EUR_Million,EPS
2020-06-11,6776.250549450549,3.554725274725275
2020-06-12,6789.2780219780225,3.550989010989011
2020-06-13,6802.305494505495,3.547252747252747
2020-06-14,6815.332967032968,3.5435164835164836
2020-06-15,6828.36043956044,3.5397802197802197
2020-06-16,6841.387912087912,3.536043956043956
2020-06-17,6854.415384615385,3.5323076923076924
2020-06-18,6867.442857142857,3.5285714285714285
2020-06-19,6880.47032967033,3.5248351648351646
2020-06-20,6893.497802197802,3.521098901098901
2020-06-21,6906.525274725274,3.517362637362637
2020-06-22,6919.552747252747,3.5136263736263738
2020-06-23,6932.58021978022,3.50989010989011
2020-06-24,6945.607692307693,3.506153846153846
2020-06-25,6958.635164835165,3.5024175824175825
2020-06-26,6971.662637362638,3.4986813186813186
2020-06-27,6984.69010989011,3.494945054945055
2020-06-28,6997.717582417583,3.4912087912087912
2020-06-29,7010.745054945055,3.4874725274725273
2020-06-30,7023.772527472527,3.483736263736264
2020-07-01,7036.8,3.48
2020-07-02,7045.952173913043,3.48
2020-07-03,7055.104347826087,3.48
2020-07-04,7064.25652173913,3.48
2020-07-05,7073.408695652174,3.48
2020-07-06,7082.560869565217,3.48
2020-07-07,7091.713043478261,3.48
2020-07-08,7100.865217391304,3.48
2020-07-09,7110.017391304348,3.48
2020-07-10,7119.169565217391,3.48
2020-07-11,7128.321739130435,3.48
2020-07-12,7137.473913043478,3.48
2020-07-13,7146.626086956522,3.48
2020-07-14,7155.778260869565,3.48
2020-07-15,7164.930434782609,3.48
2020-07-16,7174.082608695652,3.48
2020-07-17,7183.234782608696,3.48
2020-07-18,7192.386956521739,3.48
2020-07-19,7201.539130434783,3.48
2020-07-20,7210.691304347826,3.48
2020-07-21,7219.84347826087,3.48
2020-07-22,7228.995652173913,3.48
2020-07-23,7238.147826086957,3.48
2020-07-24,7247.3,3.48
2020-07-25,7256.452173913043,3.48
2020-07-26,7265.604347826087,3.48
2020-07-27,7274.75652173913,3.48
2020-07-28,7283.908695652174,3.48
2020-07-29,7293.060869565217,3.48
2020-07-30,7302.213043478261,3.48
2020-07-31,7311.365217391304,3.48
2020-08-01,7320.517391304348,3.48
2020-08-02,7329.669565217391,3.48
2020-08-03,7338.821739130435,3.48
2020-08-04,7347.973913043478,3.48
2020-08-05,7357.126086956522,3.48
2020-08-06,7366.278260869565,3.48
2020-08-07,7375.430434782609,3.48
2020-08-08,7384.582608695652,3.48
2020-08-09,7393.734782608696,3.48
2020-08-10,7402.886956521739,3.48
2020-08-11,7412.039130434783,3.48
2020-08-12,7421.191304347826,3.48
2020-08-13,7430.34347826087,3.48
2020-08-14,7439.495652173913,3.48
2020-08-15,7448.647826086957,3.48
2020-08-16,7457.8,3.48
2020-08-17,7466.952173913043,3.48
2020-08-18,7476.104347826087,3.48
2020-08-19,7485.25652173913,3.48
2020-08-20,7494.408695652174,3.48
2020-08-21,7503.560869565217,3.48
2020-08-22,7512.713043478261,3.48
2020-08-23,7521.865217391304,3.48
2020-08-24,7531.017391304348,3.48
2020-08-25,7540.169565217391,3.48
2020-08-26,7549.321739130435,3.48
2020-08-27,7558.473913043478,3.48
2020-08-28,7567.626086956522,3.48
2020-08-29,7576.778260869565,3.48
2020-08-30,7585.930434782609,3.48
2020-08-31,7595.082608695652,3.48
2020-09-01,7604.234782608696,3.48
2020-09-02,7613.386956521739,3.48
2020-09-03,7622.539130434783,3.48
2020-09-04,7631.691304347826,3.48
2020-09-05,7640.84347826087,3.48
2020-09-06,7649.995652173913,3.48
2020-09-07,7659.147826086957,3.48
2020-09-08,7668.3,3.48
2020-09-09,7677.452173913043,3.48
2020-09-10,7686.604347826087,3.48
2020-09-11,7695.756521739131,3.48
2020-09-12,7704.908695652174,3.48
2020-09-13,7714.060869565217,3.48
2020-09-14,7723.213043478261,3.48
2020-09-15,7732.365217391304,3.48
2020-09-16,7741.517391304348,3.48
2020-09-17,7750.669565217391,3.48
2020-09-18,7759.821739130435,3.48
2020-09-19,7768.973913043478,3.48
2020-09-20,7778.126086956522,3.48
2020-09-21,7787.278260869565,3.48
2020-09-22,7796.430434782609,3.48
2020-09-23,7805.582608695652,3.48
2020-09-24,7814.734782608696,3.48
2020-09-25,7823.886956521739,3.48
2020-09-26,7833.039130434783,3.48
2020-09-27,7842.191304347826,3.48
2020-09-28,7851.34347826087,3.48
2020-09-29,7860.495652173913,3.48
2020-09-30,7869.647826086957,3.48
2020-10-01,7878.8,3.48
2020-10-02,7875.927173913044,3.4925
2020-10-03,7873.054347826087,3.505
2020-10-04,7870.18152173913,3.5175
2020-10-05,7867.308695652174,3.53
2020-10-06,7864.435869565217,3.5425
2020-10-07,7861.563043478261,3.555
2020-10-08,7858.690217391305,3.5675
2020-10-09,7855.817391304348,3.58
2020-10-10,7852.944565217392,3.5925
2020-10-11,7850.071739130435,3.605
2020-10-12,7847.198913043479,3.6175
2020-10-13,7844.326086956522,3.63
2020-10-14,7841.453260869565,3.6425
2020-10-15,7838.580434782609,3.655
2020-10-16,7835.707608695652,3.6675
2020-10-17,7832.834782608696,3.68
2020-10-18,7829.961956521739,3.6925
2020-10-19,7827.089130434782,3.705
2020-10-20,7824.216304347826,3.7175
2020-10-21,7821.34347826087,3.73
2020-10-22,7818.470652173914,3.7424999999999997
2020-10-23,7815.597826086957,3.755
2020-10-24,7812.725,3.7675
2020-10-25,7809.852173913044,3.78
2020-10-26,7806.979347826087,3.7925
2020-10-27,7804.106521739131,3.8049999999999997
2020-10-28,7801.233695652174,3.8175
2020-10-29,7798.360869565217,3.83
2020-10-30,7795.488043478261,3.8425
2020-10-31,7792.615217391304,3.855
2020-11-01,7789.742391304348,3.8674999999999997
2020-11-02,7786.869565217391,3.88
2020-11-03,7783.996739130435,3.8925
2020-11-04,7781.123913043479,3.905
2020-11-05,7778.251086956522,3.9175
2020-11-06,7775.378260869566,3.9299999999999997
2020-11-07,7772.505434782609,3.9425
2020-11-08,7769.632608695652,3.955
2020-11-09,7766.759782608696,3.9675
2020-11-10,7763.886956521739,3.98
2020-11-11,7761.014130434783,3.9924999999999997
2020-11-12,7758.141304347826,4.005
2020-11-13,7755.268478260869,4.0175
2020-11-14,7752.395652173913,4.03
2020-11-15,7749.522826086956,4.0425
2020-11-16,7746.65,4.055
2020-11-17,7743.777173913044,4.0675
2020-11-18,7740.904347826087,4.08
2020-11-19,7738.031521739131,4.0925
2020-11-20,7735.158695652174,4.105
2020-11-21,7732.285869565218,4.1175
2020-11-22,7729.413043478261,4.13
2020-11-23,7726.540217391304,4.1425
2020-11-24,7723.667391304348,4.155
2020-11-25,7720.794565217391,4.1674999999999995
2020-11-26,7717.921739130435,4.18
2020-11-27,7715.048913043478,4.1925
2020-11-28,7712.176086956521,4.205
2020-11-29,7709.303260869565,4.2175
2020-11-30,7706.430434782609,4.2299999999999995
2020-12-01,7703.557608695653,4.2425
2020-12-02,7700.684782608696,4.255
2020-12-03,7697.811956521739,4.2675
2020-12-04,7694.939130434783,4.28
2020-12-05,7692.066304347826,4.2924999999999995
2020-12-06,7689.19347826087,4.305
2020-12-07,7686.320652173913,4.3175
2020-12-08,7683.447826086956,4.33
2020-12-09,7680.575,4.3425
2020-12-10,7677.702173913043,4.3549999999999995
2020-12-11,7674.829347826087,4.3675
2020-12-12,7671.95652173913,4.38
2020-12-13,7669.083695652174,4.3925
2020-12-14,7666.210869565218,4.405
2020-12-15,7663.338043478261,4.4174999999999995
2020-12-16,7660.465217391305,4.43
2020-12-17,7657.592391304348,4.4425
2020-12-18,7654.719565217391,4.455
2020-12-19,7651.846739130435,4.4675
2020-12-20,7648.973913043478,4.4799999999999995
2020-12-21,7646.101086956522,4.4925
2020-12-22,7643.228260869565,4.505
2020-12-23,7640.355434782608,4.5175
2020-12-24,7637.482608695652,4.529999999999999
2020-12-25,7634.609782608695,4.5425
2020-12-26,7631.73695652174,4.555
2020-12-27,7628.864130434783,4.5675
2020-12-28,7625.991304347826,4.58
2020-12-29,7623.11847826087,4.592499999999999
2020-12-30,7620.245652173913,4.605
2020-12-31,7617.372826086957,4.6175
2021-01-01,7614.5,4.63
2021-01-02,7614.14,4.63
2021-01-03,7613.78,4.63
2021-01-04,7613.42,4.63
2021-01-05,7613.06,4.63
2021-01-06,7612.7,4.63
2021-01-07,7612.34,4.63
2021-01-08,7611.9800000000005,4.63
2021-01-09,7611.62,4.63
2021-01-10,7611.26,4.63
2021-01-11,7610.9,4.63
2021-01-12,7610.54,4.63
2021-01-13,7610.18,4.63
2021-01-14,7609.82,4.63
2021-01-15,7609.46,4.63
2021-01-16,7609.1,4.63
2021-01-17,7608.74,4.63
2021-01-18,7608.38,4.63
2021-01-19,7608.02,4.63
2021-01-20,7607.66,4.63
2021-01-21,7607.3,4.63
2021-01-22,7606.9400000000005,4.63
2021-01-23,7606.58,4.63
2021-01-24,7606.22,4.63
2021-01-25,7605.86,4.63
2021-01-26,7605.5,4.63
2021-01-27,7605.14,4.63
2021-01-28,7604.78,4.63
2021-01-29,7604.42,4.63
2021-01-30,7604.06,4.63
2021-01-31,7603.7,4.63
2021-02-01,7603.34,4.63
2021-02-02,7602.9800000000005,4.63
2021-02-03,7602.62,4.63
2021-02-04,7602.26,4.63
2021-02-05,7601.900000000001,4.63
2021-02-06,7601.54,4.63
2021-02-07,7601.18,4.63
2021-02-08,7600.82,4.63
2021-02-09,7600.46,4.63
2021-02-10,7600.1,4.63
2021-02-11,7599.74,4.63
2021-02-12,7599.38,4.63
2021-02-13,7599.02,4.63
2021-02-14,7598.66,4.63
2021-02-15,7598.3,4.63
2021-02-16,7597.9400000000005,4.63
2021-02-17,7597.58,4.63
2021-02-18,7597.22,4.63
2021-02-19,7596.860000000001,4.63
2021-02-20,7596.5,4.63
2021-02-21,7596.14,4.63
2021-02-22,7595.780000000001,4.63
2021-02-23,7595.42,4.63
2021-02-24,7595.06,4.63
2021-02-25,7594.7,4.63
2021-02-26,7594.34,4.63
2021-02-27,7593.9800000000005,4.63
2021-02-28,7593.62,4.63
2021-03-01,7593.26,4.63
2021-03-02,7592.900000000001,4.63
2021-03-03,7592.54,4.63
2021-03-04,7592.18,4.63
2021-03-05,7591.820000000001,4.63
2021-03-06,7591.46,4.63
2021-03-07,7591.1,4.63
2021-03-08,7590.740000000001,4.63
2021-03-09,7590.38,4.63
2021-03-10,7590.02,4.63
2021-03-11,7589.66,4.63
2021-03-12,7589.3,4.63
2021-03-13,7588.9400000000005,4.63
2021-03-14,7588.58,4.63
2021-03-15,7588.22,4.63
2021-03-16,7587.860000000001,4.63
2021-03-17,7587.5,4.63
2021-03-18,7587.14,4.63
2021-03-19,7586.780000000001,4.63
2021-03-20,7586.42,4.63
2021-03-21,7586.06,4.63
2021-03-22,7585.700000000001,4.63
2021-03-23,7585.34,4.63
2021-03-24,7584.9800000000005,4.63
2021-03-25,7584.62,4.63
2021-03-26,7584.26,4.63
2021-03-27,7583.900000000001,4.63
2021-03-28,7583.54,4.63
2021-03-29,7583.18,4.63
2021-03-30,7582.820000000001,4.63
2021-03-31,7582.46,4.63
2021-04-01,7582.1,4.63
2021-04-02,7586.6549450549455,4.625164835164835
2021-04-03,7591.209890109891,4.62032967032967
2021-04-04,7595.764835164836,4.615494505494506
2021-04-05,7600.319780219781,4.610659340659341
2021-04-06,7604.874725274725,4.605824175824176
2021-04-07,7609.42967032967,4.600989010989011
2021-04-08,7613.984615384616,4.596153846153846
2021-04-09,7618.539560439561,4.591318681318681
2021-04-10,7623.094505494506,4.586483516483517
2021-04-11,7627.649450549451,4.581648351648352
2021-04-12,7632.204395604396,4.576813186813187
2021-04-13,7636.759340659341,4.571978021978022
2021-04-14,7641.314285714286,4.567142857142857
2021-04-15,7645.869230769231,4.562307692307693
2021-04-16,7650.424175824176,4.557472527472528
2021-04-17,7654.979120879121,4.552637362637363
2021-04-18,7659.534065934066,4.547802197802198
2021-04-19,7664.0890109890115,4.542967032967033
2021-04-20,7668.643956043957,4.5381318681318685
2021-04-21,7673.198901098902,4.5332967032967035
2021-04-22,7677.753846153846,4.5284615384615385
2021-04-23,7682.308791208791,4.5236263736263735
2021-04-24,7686.863736263736,4.5187912087912085
2021-04-25,7691.418681318682,4.5139560439560436
2021-04-26,7695.973626373627,4.509120879120879
2021-04-27,7700.528571428572,4.5042857142857144
2021-04-28,7705.083516483517,4.4994505494505495
2021-04-29,7709.638461538462,4.4946153846153845
2021-04-30,7714.193406593407,4.4897802197802195
2021-05-01,7718.748351648352,4.484945054945055
2021-05-02,7723.303296703297,4.48010989010989
2021-05-03,7727.858241758242,4.475274725274725
2021-05-04,7732.413186813187,4.47043956043956
2021-05-05,7736.968131868132,4.465604395604395
2021-05-06,7741.5230769230775,4.460769230769231
2021-05-07,7746.078021978023,4.455934065934066
2021-05-08,7750.632967032968,4.451098901098901
2021-05-09,7755.187912087912,4.446263736263736
2021-05-10,7759.742857142857,4.441428571428571
2021-05-11,7764.297802197802,4.436593406593406
2021-05-12,7768.852747252748,4.431758241758242
2021-05-13,7773.407692307693,4.426923076923077
2021-05-14,7777.962637362638,4.422087912087912
2021-05-15,7782.517582417583,4.417252747252747
2021-05-16,7787.072527472528,4.412417582417582
2021-05-17,7791.6274725274725,4.407582417582418
2021-05-18,7796.182417582418,4.402747252747253
2021-05-19,7800.737362637363,4.397912087912088
2021-05-20,7805.292307692308,4.393076923076923
2021-05-21,7809.847252747253,4.388241758241758
2021-05-22,7814.402197802198,4.383406593406594
2021-05-23,7818.9571428571435,4.378571428571429
2021-05-24,7823.512087912089,4.373736263736264
2021-05-25,7828.067032967033,4.368901098901099
2021-05-26,7832.621978021978,4.364065934065934
2021-05-27,7837.176923076923,4.359230769230769
2021-05-28,7841.731868131868,4.354395604395605
2021-05-29,7846.286813186814,4.34956043956044
2021-05-30,7850.841758241759,4.344725274725275
2021-05-31,7855.396703296704,4.33989010989011
2021-06-01,7859.951648351649,4.335054945054945
2021-06-02,7864.506593406593,4.330219780219781
2021-06-03,7869.0615384615385,4.325384615384616
2021-06-04,7873.616483516484,4.320549450549451
2021-06-05,7878.171428571429,4.315714285714286
2021-06-06,7882.726373626374,4.310879120879121
2021-06-07,7887.281318681319,4.306043956043956
2021-06-08,7891.836263736264,4.301208791208792
2021-06-09,7896.3912087912095,4.296373626373627
2021-06-10,7900.946153846155,4.291538461538462
2021-06-11,7905.501098901099,4.286703296703297
2021-06-12,7910.056043956044,4.281868131868132
2021-06-13,7914.610989010989,4.277032967032968
2021-06-14,7919.165934065934,4.272197802197803
2021-06-15,7923.7208791208795,4.267362637362638
2021-06-16,7928.275824175825,4.262527472527473
2021-06-17,7932.83076923077,4.257692307692308
2021-06-18,7937.385714285715,4.252857142857144
2021-06-19,7941.940659340659,4.248021978021979
2021-06-20,7946.4956043956045,4.243186813186814
2021-06-21,7951.05054945055,4.238351648351649
2021-06-22,7955.605494505495,4.233516483516484
2021-06-23,7960.16043956044,4.2286813186813195
2021-06-24,7964.715384615385,4.2238461538461545
2021-06-25,7969.27032967033,4.2190109890109895
2021-06-26,7973.825274725275,4.2141758241758245
2021-06-27,7978.38021978022,4.2093406593406595
2021-06-28,7982.935164835165,4.2045054945054945
2021-06-29,7987.49010989011,4.19967032967033
2021-06-30,7992.045054945055,4.194835164835165
2021-07-01,7996.6,4.19
2021-07-02,8008.532608695653,4.19
2021-07-03,8020.465217391305,4.19
2021-07-04,8032.397826086957,4.19
2021-07-05,8044.330434782609,4.19
2021-07-06,8056.263043478261,4.19
2021-07-07,8068.195652173913,4.19
2021-07-08,8080.128260869566,4.19
2021-07-09,8092.060869565218,4.19
2021-07-10,8103.99347826087,4.19
2021-07-11,8115.926086956522,4.19
2021-07-12,8127.858695652174,4.19
2021-07-13,8139.791304347827,4.19
2021-07-14,8151.723913043478,4.19
2021-07-15,8163.656521739131,4.19
2021-07-16,8175.589130434782,4.19
2021-07-17,8187.521739130435,4.19
2021-07-18,8199.454347826088,4.19
2021-07-19,8211.38695652174,4.19
2021-07-20,8223.31956521739,4.19
2021-07-21,8235.252173913044,4.19
2021-07-22,8247.184782608696,4.19
2021-07-23,8259.117391304348,4.19
2021-07-24,8271.05,4.19
2021-07-25,8282.982608695653,4.19
2021-07-26,8294.915217391304,4.19
2021-07-27,8306.847826086956,4.19
2021-07-28,8318.78043478261,4.19
2021-07-29,8330.713043478261,4.19
2021-07-30,8342.645652173913,4.19
2021-07-31,8354.578260869564,4.19
