Date,Open_Stock_Price,High_Stock_Price,Low_Stock_Price,Close_Stock_Price,Stock_Volumn,Stock_Dividends,Stock_Splits,Open_Currency_Rate,High_Currency_Rate,Low_Currency_Rate,Close_Currency_Rate,Currency_Rate_Volumn,Currency_Rate_Dividends,Currency_Stock_Splits,Total_Sales(EUR_Million),EPS
2020-01-21,250.28712535038463,251.02382252539323,247.4325116163632,247.7087554931641,339921.0,0.0,0.0,1.1096439361572266,1.1119760274887085,1.1086474657058716,1.109693169593811,0.0,0.0,0.0,6923.243956043956,3.82
2020-01-22,246.7879311779465,247.52460032867177,245.22247410499688,245.86708068847656,459218.0,0.0,0.0,1.1085859537124634,1.1097793579101562,1.1071622371673584,1.108561396598816,0.0,0.0,0.0,6908.1461538461535,3.82
2020-01-23,247.7087816390004,251.0238490211373,247.0641750555947,249.09005737304688,434682.0,0.0,0.0,1.1097548007965088,1.1103215217590332,1.1037039756774902,1.1096439361572266,0.0,0.0,0.0,6893.048351648352,3.82
2020-01-24,246.5116816438273,248.7217265652519,243.71842380914117,245.25318400065103,572420.6666666666,0.0,0.0,1.105534315109253,1.1060845851898191,1.1021226644515991,1.1055220365524292,0.0,0.0,0.0,6877.950549450549,3.82
2020-01-25,245.3145816486542,246.4196041093665,240.37267256268763,241.4163106282552,710159.3333333333,0.0,0.0,1.104567249615987,1.105388561884562,1.1017505725224812,1.1045266389846802,0.0,0.0,0.0,6862.852747252748,3.82
2020-01-26,244.11748165348112,244.11748165348112,237.0269213162341,237.57943725585935,847898.0,0.0,0.0,1.1036001841227214,1.1046925385793052,1.1013784805933635,1.103531241416931,0.0,0.0,0.0,6847.754945054945,3.82
2020-01-27,238.96069389108328,240.98657613987345,236.2902331828605,240.8944854736328,574573.0,0.0,0.0,1.1026331186294556,1.103996515274048,1.1010063886642456,1.102535843849182,0.0,0.0,0.0,6832.657142857142,3.82
2020-01-28,240.3419833355168,243.1045348681089,239.88155808008477,241.53907775878903,432653.0,0.0,0.0,1.101964831352234,1.102657437324524,1.099855899810791,1.101976990699768,0.0,0.0,0.0,6817.559340659341,3.82
2020-01-29,240.3419958307535,241.1707557131924,237.57944415453792,239.0528106689453,506603.0,0.0,0.0,1.102292776107788,1.1030223369598389,1.099323868751526,1.1022562980651855,0.0,0.0,0.0,6802.461538461538,3.82
2020-01-30,238.50026295516048,240.06571993741505,231.96221923828125,231.96221923828125,902073.0,0.0,0.0,1.101406455039978,1.1036553382873535,1.1008244752883911,1.1016855239868164,0.0,0.0,0.0,6787.363736263736,3.82
2020-01-31,236.44370387474245,239.02208802414233,232.08500806348965,232.9137725830078,779004.6666666666,0.0,0.0,1.1028763055801392,1.1090162992477417,1.1017948389053345,1.1029127836227417,0.0,0.0,0.0,6772.265934065934,3.82
2020-02-01,234.38714479432446,237.9784561108696,232.20779688869803,233.86532592773435,655936.3333333334,0.0,0.0,1.1048860549926758,1.1089793841044109,1.1026465495427449,1.1049350102742512,0.0,0.0,0.0,6757.168131868132,3.82
2020-02-02,232.33058571390643,236.93482419759687,232.33058571390643,234.8168792724609,532868.0,0.0,0.0,1.1068958044052124,1.1089424689610798,1.1034982601801555,1.106957236925761,0.0,0.0,0.0,6742.07032967033,3.82
