Date,Close Stock Price,Close Currency Rate,Total_Sales_EUR_Million,EPS
2021-07-12,354.461853,1.186521,8127.858696,4.190000
2021-07-13,355.405853,1.177537,8139.791304,4.190000
2021-07-14,352.668335,1.183334,8151.723913,4.190000
2021-07-15,353.612305,1.181181,8163.656522,4.190000
2021-07-16,353.156036,1.181254,8175.589130,4.190000
2021-07-17,352.699768,1.181328,8187.521739,4.190000
2021-07-18,352.243500,1.181401,8199.454348,4.190000
2021-07-19,355.594635,1.179384,8211.386957,4.190000
2021-07-20,357.907379,1.178411,8223.319565,4.190000
2021-07-21,357.954590,1.179273,8235.252174,4.190000
2021-07-22,365.364746,1.177274,8247.184783,4.190000
2021-07-23,364.247711,1.177297,8259.117391,4.190000
2021-07-24,363.130676,1.177320,8271.050000,4.190000
2021-07-25,362.013641,1.177343,8282.982609,4.190000
2021-07-26,362.060822,1.180777,8294.915217,4.190000
2021-07-27,364.231995,1.182313,8306.847826,4.190000
2021-07-28,363.335236,1.184596,8318.780435,4.190000
2021-07-29,364.279175,1.189300,8330.713043,4.190000
2021-07-30,366.418854,1.188435,8342.645652,4.190000
2021-07-31,368.558533,1.187569,8354.578261,4.190000
2021-08-01,370.698212,1.186704,8366.510870,4.190000
2021-08-02,371.783783,1.187465,8378.443478,4.190000
2021-08-03,373.246918,1.186944,8390.376087,4.190000
2021-08-04,375.937286,1.183740,8402.308696,4.190000
2021-08-05,376.692413,1.183572,8414.241304,4.190000
2021-08-06,376.708150,1.180698,8426.173913,4.190000
2021-08-07,376.723887,1.177824,8438.106522,4.190000
2021-08-08,376.739624,1.174950,8450.039130,4.190000
2021-08-09,375.842834,1.173847,8461.971739,4.190000
2021-08-10,377.872375,1.172333,8473.904348,4.190000
2021-08-11,381.223511,1.174190,8485.836957,4.190000
2021-08-12,380.515533,1.173626,8497.769565,4.190000
2021-08-13,379.099569,1.175573,8509.702174,4.190000
2021-08-14,377.683604,1.177521,8521.634783,4.190000
2021-08-15,376.267639,1.179468,8533.567391,4.190000
2021-08-16,377.683594,1.177995,8545.500000,4.190000
2021-08-17,371.170197,1.170974,8557.432609,4.190000
2021-08-18,367.016693,1.170330,8569.365217,4.190000
2021-08-19,370.509399,1.167660,8581.297826,4.190000
2021-08-20,371.327515,1.168358,8593.230435,4.190000
2021-08-21,372.145630,1.169056,8605.163043,4.190000
2021-08-22,372.963745,1.169755,8617.095652,4.190000
2021-08-23,371.170197,1.174453,8629.028261,4.190000
2021-08-24,371.028595,1.175309,8640.960870,4.190000
2021-08-25,372.019745,1.177440,8652.893478,4.190000
2021-08-26,371.547791,1.175641,8664.826087,4.190000
2021-08-27,372.680562,1.177061,8676.758696,4.190000
2021-08-28,373.813334,1.178481,8688.691304,4.190000
2021-08-29,374.946106,1.179901,8700.623913,4.190000
2021-08-30,374.096527,1.179690,8712.556522,4.190000
2021-08-31,377.117188,1.181028,8724.489130,4.190000
2021-09-01,377.730804,1.184091,8736.421739,4.190000
2021-09-02,372.727753,1.187648,8748.354348,4.190000
2021-09-03,373.199738,1.187964,8760.286957,4.190000
2021-09-04,373.671722,1.188279,8772.219565,4.190000
2021-09-05,374.143707,1.188594,8784.152174,4.190000
2021-09-06,371.028595,1.187507,8796.084783,4.190000
2021-09-07,371.972534,1.184357,8808.017391,4.190000
2021-09-08,375.418091,1.181910,8819.950000,4.190000
2021-09-09,376.031677,1.182592,8831.882609,4.190000
2021-09-10,375.764211,1.182127,8843.815217,4.190000
2021-09-11,375.496745,1.181661,8855.747826,4.190000
2021-09-12,375.229279,1.181195,8867.680435,4.190000
2021-09-13,376.267639,1.181195,8879.613043,4.190000
2021-09-14,370.981384,1.180498,8891.545652,4.190000
2021-09-15,361.824829,1.182000,8903.478261,4.190000
2021-09-16,361.164093,1.176747,8915.410870,4.190000
2021-09-17,357.907369,1.175496,8927.343478,4.190000
2021-09-18,354.650645,1.174245,8939.276087,4.190000
2021-09-19,351.393921,1.172993,8951.208696,4.190000
2021-09-20,361.966461,1.173020,8963.141304,4.190000
2021-09-21,362.910431,1.172292,8975.073913,4.190000
2021-09-22,365.553528,1.168770,8987.006522,4.190000
2021-09-23,357.152191,1.174026,8998.939130,4.190000
2021-09-24,355.154104,1.173452,9010.871739,4.190000
2021-09-25,353.156016,1.172879,9022.804348,4.190000
2021-09-26,351.157928,1.172305,9034.736957,4.190000
2021-09-27,342.379028,1.169680,9046.669565,4.190000
2021-09-28,342.945374,1.168634,9058.602174,4.190000
2021-09-29,336.856781,1.160160,9070.534783,4.190000
2021-09-30,341.293427,1.157448,9082.467391,4.190000
2021-10-01,341.277690,1.158540,9094.400000,4.190000
2021-10-02,341.261953,1.159633,9094.031522,4.210217
2021-10-03,341.246216,1.160726,9093.663043,4.230435
2021-10-04,343.417358,1.161845,9093.294565,4.250652
2021-10-05,338.083954,1.159608,9092.926087,4.270870
2021-10-06,341.623810,1.155535,9092.557609,4.291087
2021-10-07,337.564758,1.155976,9092.189130,4.311304
2021-10-08,336.982635,1.156185,9091.820652,4.331522
2021-10-09,336.400513,1.156395,9091.452174,4.351739
2021-10-10,335.818390,1.156604,9091.083696,4.371957
2021-10-11,335.488007,1.155375,9090.715217,4.392174
2021-10-12,342.095795,1.153403,9090.346739,4.412391
2021-10-13,349.222809,1.159958,9089.978261,4.432609
2021-10-14,348.845245,1.159152,9089.609783,4.452826
2021-10-15,347.696737,1.159335,9089.241304,4.473043
2021-10-16,346.548228,1.159519,9088.872826,4.493261
2021-10-17,345.399719,1.159703,9088.504348,4.513478
2021-10-18,342.237396,1.161386,9088.135870,4.533696
2021-10-19,343.889374,1.163196,9087.767391,4.553913
2021-10-20,348.609253,1.165501,9087.398913,4.574130
2021-10-21,366.308716,1.162534,9087.030435,4.594348
2021-10-22,364.987162,1.163026,9086.661957,4.614565
2021-10-23,363.665609,1.163517,9086.293478,4.634783
2021-10-24,362.344055,1.164009,9085.925000,4.655000
2021-10-25,368.574249,1.161170,9085.556522,4.675217
2021-10-26,366.591919,1.159824,9085.188043,4.695435
2021-10-27,371.406189,1.160012,9084.819565,4.715652
2021-10-28,372.822144,1.168361,9084.451087,4.735870
2021-10-29,373.844788,1.165188,9084.082609,4.756087
2021-10-30,374.867432,1.162015,9083.714130,4.776304
2021-10-31,375.890076,1.158842,9083.345652,4.796522
2021-11-01,377.589203,1.155668,9082.977174,4.816739
2021-11-02,382.828278,1.159958,9082.608696,4.836957
2021-11-03,385.896149,1.157943,9082.240217,4.857174
2021-11-04,389.672028,1.161575,9081.871739,4.877391
2021-11-05,389.498973,1.155535,9081.503261,4.897609
2021-11-06,389.325918,1.155985,9081.134783,4.917826
2021-11-07,389.152863,1.156435,9080.766304,4.938043
2021-11-08,391.324005,1.156885,9080.397826,4.958261
2021-11-09,391.135223,1.159152,9080.029348,4.978478
2021-11-10,391.229614,1.159555,9079.660870,4.998696
2021-11-11,397.365448,1.148594,9079.292391,5.018913
2021-11-12,398.340881,1.145082,9078.923913,5.039130
2021-11-13,399.316315,1.144776,9078.555435,5.059348
2021-11-14,400.291748,1.144470,9078.186957,5.079565
2021-11-15,403.265259,1.144165,9077.818478,5.099783
2021-11-16,405.719574,1.136648,9077.450000,5.120000
2021-11-17,399.206177,1.132118,9077.081522,5.140217
2021-11-18,401.660522,1.132118,9076.713043,5.160435
2021-11-19,399.253387,1.136842,9076.344565,5.180652
2021-11-20,396.846252,1.133752,9075.976087,5.200870
2021-11-21,394.439117,1.130663,9075.607609,5.221087
2021-11-22,388.633698,1.127574,9075.239130,5.241304
2021-11-23,389.436035,1.124215,9074.870652,5.261522
2021-11-24,392.220795,1.124493,9074.502174,5.281739
2021-11-25,379.760345,1.120298,9074.133696,5.301957
2021-11-26,379.603017,1.120963,9073.765217,5.322174
2021-11-27,379.445689,1.123748,9073.396739,5.342391
2021-11-28,379.288361,1.126533,9073.028261,5.362609
2021-11-29,375.229279,1.129318,9072.659783,5.382826
2021-11-30,383.394653,1.129344,9072.291304,5.403043
2021-12-01,375.842834,1.133029,9071.922826,5.423261
2021-12-02,378.438782,1.131952,9071.554348,5.443478
2021-12-03,380.861643,1.130621,9071.185870,5.463696
2021-12-04,383.284505,1.130574,9070.817391,5.483913
2021-12-05,385.707367,1.130527,9070.448913,5.504130
2021-12-06,400.999725,1.130480,9070.080435,5.524348
2021-12-07,394.816711,1.128668,9069.711957,5.544565
2021-12-08,395.619110,1.127650,9069.343478,5.564783
2021-12-09,397.459839,1.134559,9068.975000,5.585000
2021-12-10,396.500132,1.129331,9068.606522,5.605217
2021-12-11,395.540426,1.129948,9068.238043,5.625435
2021-12-12,394.580719,1.130566,9067.869565,5.645652
2021-12-13,391.937592,1.131183,9067.501087,5.665870
2021-12-14,393.919922,1.128541,9067.132609,5.686087
2021-12-15,395.005493,1.126126,9066.764130,5.706304
2021-12-16,389.908020,1.129076,9066.395652,5.726522
2021-12-17,389.262980,1.133414,9066.027174,5.746739
2021-12-18,388.617940,1.130394,9065.658696,5.766957
2021-12-19,387.972900,1.127374,9065.290217,5.787174
2021-12-20,391.654419,1.124354,9064.921739,5.807391
2021-12-21,395.524689,1.127752,9064.553261,5.827609
2021-12-22,398.970184,1.128757,9064.184783,5.847826
2021-12-23,398.687042,1.132888,9063.816304,5.868043
2021-12-24,397.365458,1.132734,9063.447826,5.888261
2021-12-25,396.043874,1.132631,9063.079348,5.908478
2021-12-26,394.722290,1.132529,9062.710870,5.928696
2021-12-27,397.507019,1.132426,9062.342391,5.948913
2021-12-28,395.383118,1.133003,9061.973913,5.969130
2021-12-29,396.279816,1.131478,9061.605435,5.989348
2021-12-30,393.589600,1.136015,9061.236957,6.009565
2021-12-31,396.437236,1.132503,9060.868478,6.029783
2022-01-01,399.284871,1.134117,9060.500000,6.050000
2022-01-02,402.132507,1.135732,9063.225556,6.050000
2022-01-03,407.229950,1.137346,9065.951111,6.050000
2022-01-04,404.209229,1.130224,9068.676667,6.050000
2022-01-05,389.860870,1.128363,9071.402222,6.050000
2022-01-06,386.604095,1.131350,9074.127778,6.050000
2022-01-07,381.915721,1.129688,9076.853333,6.050000
2022-01-08,377.227346,1.131591,9079.578889,6.050000
2022-01-09,372.538971,1.133493,9082.304444,6.050000
2022-01-10,374.143707,1.135396,9085.030000,6.050000
2022-01-11,377.636383,1.133042,9087.755556,6.050000
2022-01-12,367.016693,1.136648,9090.481111,6.050000
2022-01-13,358.143372,1.144165,9093.206667,6.050000
2022-01-14,359.984121,1.145712,9095.932222,6.050000
2022-01-15,361.824870,1.144165,9098.657778,6.050000
2022-01-16,363.665619,1.142618,9101.383333,6.050000
2022-01-17,354.933868,1.141070,9104.108889,6.050000
2022-01-18,356.113800,1.141057,9106.834444,6.050000
2022-01-19,359.464905,1.132965,9109.560000,6.050000
2022-01-20,354.461853,1.134340,9112.285556,6.050000
2022-01-21,351.582743,1.131375,9115.011111,6.050000
2022-01-22,348.703634,1.132299,9117.736667,6.050000
2022-01-23,345.824524,1.133223,9120.462222,6.050000
2022-01-24,349.128418,1.134147,9123.187778,6.050000
2022-01-25,351.252350,1.132413,9125.913333,6.050000
2022-01-26,352.149109,1.130454,9128.638889,6.050000
2022-01-27,347.476501,1.124354,9131.364444,6.050000
2022-01-28,350.229757,1.114703,9134.090000,6.050000
2022-01-29,352.983012,1.114881,9136.815556,6.050000
2022-01-30,355.736267,1.115059,9139.541111,6.050000
2022-01-31,356.632996,1.115237,9142.266667,6.050000
2022-02-01,358.332184,1.122965,9144.992222,6.050000
2022-02-02,351.629944,1.127396,9147.717778,6.050000
2022-02-03,347.146088,1.129995,9150.443333,6.050000
2022-02-04,348.278859,1.143576,9153.168889,6.050000
2022-02-05,349.411631,1.144222,9155.894444,6.050000
